市场,config,tick,累积成交笔数,平均信念,模拟市场价格,差距,真实结局
NFL酋长对巨人比赛结果,rq1_m08_s0,9,32.0,0.7205,0.81075,-0.09024999999999994,
NFL酋长对巨人比赛结果,rq1_m08_s0,10,38.0,0.736,0.817,-0.08099999999999996,
NFL酋长对巨人比赛结果,rq1_m08_s0,11,42.0,0.75,0.8200000000000001,-0.07000000000000006,
NFL酋长对巨人比赛结果,rq1_m08_s0,12,48.0,0.746,0.8240000000000001,-0.07800000000000007,
NFL酋长对巨人比赛结果,rq1_m08_s0,13,51.0,0.747,0.85125,-0.10424999999999995,
NFL酋长对巨人比赛结果,rq1_m08_s0,14,55.0,0.738,0.8615,-0.12350000000000005,
NFL酋长对巨人比赛结果,rq1_m08_s0,15,56.0,0.7474999999999999,0.8654999999999999,-0.118,
NFL酋长对巨人比赛结果,rq1_m08_s0,16,59.0,0.7505,0.865,-0.11450000000000005,
NFL酋长对巨人比赛结果,rq1_m08_s0,17,61.0,0.7565,0.865,-0.10850000000000004,
NFL酋长对巨人比赛结果,rq1_m08_s0,18,67.0,0.757,0.86725,-0.11024999999999996,
NFL酋长对巨人比赛结果,rq1_m08_s0,19,68.0,0.7575000000000001,0.8699999999999999,-0.11249999999999982,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,0,4.0,0.521,0.52875,-0.007750000000000035,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,1,6.0,0.5225,0.54,-0.01750000000000007,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,2,10.0,0.5255,0.53325,-0.007750000000000035,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,3,12.0,0.5135,0.5282500000000001,-0.014750000000000152,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,4,14.0,0.5175,0.53,-0.012500000000000067,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,5,21.0,0.516,0.52575,-0.009750000000000036,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,6,21.0,0.512,0.525,-0.013000000000000012,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,7,24.0,0.509,0.525,-0.016000000000000014,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,8,24.0,0.507,0.525,-0.018000000000000016,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,9,24.0,0.51,0.525,-0.015000000000000013,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,10,28.0,0.5105000000000001,0.525,-0.014499999999999957,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,11,32.0,0.502,0.525,-0.02300000000000002,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,12,33.0,0.49749999999999994,0.525,-0.02750000000000008,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,13,40.0,0.4965,0.526,-0.029500000000000026,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,14,48.0,0.49450000000000005,0.5105000000000001,-0.016000000000000014,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,15,55.0,0.4915,0.51375,-0.022250000000000048,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,16,58.0,0.47750000000000004,0.5157499999999999,-0.038249999999999895,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,17,59.0,0.47400000000000003,0.5195000000000001,-0.04550000000000004,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,18,60.0,0.466,0.52,-0.05399999999999999,
NFL乌鸦对比尔比赛结果,rq1_m09_s0,19,67.0,0.461,0.51675,-0.05575000000000002,
Lord Miles完成40天禁食挑战,rq1_m10_s0,0,0.0,0.1795,0.24,-0.0605,
Lord Miles完成40天禁食挑战,rq1_m10_s0,1,2.0,0.1805,0.2355,-0.05499999999999999,
Lord Miles完成40天禁食挑战,rq1_m10_s0,2,7.0,0.1775,0.23499999999999996,-0.05749999999999997,
Lord Miles完成40天禁食挑战,rq1_m10_s0,3,8.0,0.17250000000000001,0.23499999999999996,-0.062499999999999944,
Lord Miles完成40天禁食挑战,rq1_m10_s0,4,8.0,0.158,0.23499999999999996,-0.07699999999999996,
Lord Miles完成40天禁食挑战,rq1_m10_s0,5,10.0,0.1545,0.23499999999999996,-0.08049999999999996,
Lord Miles完成40天禁食挑战,rq1_m10_s0,6,11.0,0.149,0.23499999999999996,-0.08599999999999997,
Lord Miles完成40天禁食挑战,rq1_m10_s0,7,15.0,0.145,0.23499999999999996,-0.08999999999999997,
Lord Miles完成40天禁食挑战,rq1_m10_s0,8,18.0,0.14342105263157895,0.2357894736842105,-0.09236842105263154,
Lord Miles完成40天禁食挑战,rq1_m10_s0,9,21.0,0.1405,0.23199999999999998,-0.09149999999999997,
Lord Miles完成40天禁食挑战,rq1_m10_s0,10,26.0,0.13525,0.23125,-0.096,
Lord Miles完成40天禁食挑战,rq1_m10_s0,11,31.0,0.13125,0.2285,-0.09725,
Lord Miles完成40天禁食挑战,rq1_m10_s0,12,34.0,0.12325,0.23399999999999999,-0.11074999999999999,
Lord Miles完成40天禁食挑战,rq1_m10_s0,13,38.0,0.1166,0.22549999999999998,-0.10889999999999998,
Lord Miles完成40天禁食挑战,rq1_m10_s0,14,41.0,0.11975,0.2265,-0.10675000000000001,
Lord Miles完成40天禁食挑战,rq1_m10_s0,15,43.0,0.11339999999999999,0.23499999999999996,-0.12159999999999997,
Lord Miles完成40天禁食挑战,rq1_m10_s0,16,47.0,0.11100000000000002,0.23499999999999996,-0.12399999999999994,
Lord Miles完成40天禁食挑战,rq1_m10_s0,17,53.0,0.1085,0.251,-0.14250000000000002,
Lord Miles完成40天禁食挑战,rq1_m10_s0,18,59.0,0.1035,0.23099999999999996,-0.12749999999999995,
Lord Miles完成40天禁食挑战,rq1_m10_s0,19,61.0,0.10300000000000001,0.21374999999999997,-0.11074999999999996,
