series,config,market,tick,frac,yes_mid,truth,cum_trades,trade_progress
100轮,c3_ethereum_t100_s0,ethereum,40,0.40404040404040403,0.59,0.0,104.0,0.3333333333333333
100轮,c3_ethereum_t100_s0,ethereum,41,0.41414141414141414,0.59,0.0,108.0,0.34615384615384615
100轮,c3_ethereum_t100_s0,ethereum,42,0.42424242424242425,0.58,0.0,117.0,0.375
100轮,c3_ethereum_t100_s0,ethereum,43,0.43434343434343436,0.58,0.0,120.0,0.38461538461538464
100轮,c3_ethereum_t100_s0,ethereum,44,0.4444444444444444,0.049999999999999996,0.0,125.0,0.40064102564102566
100轮,c3_ethereum_t100_s0,ethereum,45,0.45454545454545453,0.58,0.0,130.0,0.4166666666666667
100轮,c3_ethereum_t100_s0,ethereum,46,0.46464646464646464,0.58,0.0,136.0,0.4358974358974359
100轮,c3_ethereum_t100_s0,ethereum,47,0.47474747474747475,0.125,0.0,137.0,0.4391025641025641
100轮,c3_ethereum_t100_s0,ethereum,48,0.48484848484848486,0.58,0.0,143.0,0.4583333333333333
100轮,c3_ethereum_t100_s0,ethereum,49,0.494949494949495,0.58,0.0,148.0,0.47435897435897434
100轮,c3_ethereum_t100_s0,ethereum,50,0.5050505050505051,0.1,0.0,153.0,0.49038461538461536
100轮,c3_ethereum_t100_s0,ethereum,51,0.5151515151515151,0.08499999999999999,0.0,157.0,0.5032051282051282
100轮,c3_ethereum_t100_s0,ethereum,52,0.5252525252525253,0.08499999999999999,0.0,158.0,0.5064102564102564
100轮,c3_ethereum_t100_s0,ethereum,53,0.5353535353535354,0.08,0.0,162.0,0.5192307692307693
100轮,c3_ethereum_t100_s0,ethereum,54,0.5454545454545454,0.08499999999999999,0.0,166.0,0.532051282051282
100轮,c3_ethereum_t100_s0,ethereum,55,0.5555555555555556,0.06,0.0,170.0,0.5448717948717948
100轮,c3_ethereum_t100_s0,ethereum,56,0.5656565656565656,0.05,0.0,173.0,0.5544871794871795
100轮,c3_ethereum_t100_s0,ethereum,57,0.5757575757575758,0.04,0.0,175.0,0.5608974358974359
100轮,c3_ethereum_t100_s0,ethereum,58,0.5858585858585859,0.045,0.0,176.0,0.5641025641025641
100轮,c3_ethereum_t100_s0,ethereum,59,0.5959595959595959,0.04,0.0,181.0,0.5801282051282052
100轮,c3_ethereum_t100_s0,ethereum,60,0.6060606060606061,0.04,0.0,184.0,0.5897435897435898
100轮,c3_ethereum_t100_s0,ethereum,61,0.6161616161616161,0.04,0.0,184.0,0.5897435897435898
100轮,c3_ethereum_t100_s0,ethereum,62,0.6262626262626263,0.04,0.0,184.0,0.5897435897435898
100轮,c3_ethereum_t100_s0,ethereum,63,0.6363636363636364,0.04,0.0,186.0,0.5961538461538461
100轮,c3_ethereum_t100_s0,ethereum,64,0.6464646464646465,0.04,0.0,188.0,0.6025641025641025
100轮,c3_ethereum_t100_s0,ethereum,65,0.6565656565656566,0.04,0.0,189.0,0.6057692307692307
100轮,c3_ethereum_t100_s0,ethereum,66,0.6666666666666666,0.04,0.0,194.0,0.6217948717948718
100轮,c3_ethereum_t100_s0,ethereum,67,0.6767676767676768,0.61,0.0,198.0,0.6346153846153846
100轮,c3_ethereum_t100_s0,ethereum,68,0.6868686868686869,0.61,0.0,201.0,0.6442307692307693
100轮,c3_ethereum_t100_s0,ethereum,69,0.696969696969697,0.03,0.0,203.0,0.6506410256410257
100轮,c3_ethereum_t100_s0,ethereum,70,0.7070707070707071,0.03,0.0,213.0,0.6826923076923077
100轮,c3_ethereum_t100_s0,ethereum,71,0.7171717171717171,0.035,0.0,217.0,0.6955128205128205
100轮,c3_ethereum_t100_s0,ethereum,72,0.7272727272727273,0.035,0.0,220.0,0.7051282051282052
100轮,c3_ethereum_t100_s0,ethereum,73,0.7373737373737373,0.035,0.0,222.0,0.7115384615384616
100轮,c3_ethereum_t100_s0,ethereum,74,0.7474747474747475,0.04,0.0,226.0,0.7243589743589743
100轮,c3_ethereum_t100_s0,ethereum,75,0.7575757575757576,0.05,0.0,231.0,0.7403846153846154
100轮,c3_ethereum_t100_s0,ethereum,76,0.7676767676767676,0.055,0.0,235.0,0.7532051282051282
100轮,c3_ethereum_t100_s0,ethereum,77,0.7777777777777778,0.055,0.0,240.0,0.7692307692307693
100轮,c3_ethereum_t100_s0,ethereum,78,0.7878787878787878,0.06,0.0,243.0,0.7788461538461539
100轮,c3_ethereum_t100_s0,ethereum,79,0.797979797979798,0.06,0.0,243.0,0.7788461538461539
100轮,c3_ethereum_t100_s0,ethereum,80,0.8080808080808081,0.06,0.0,243.0,0.7788461538461539
100轮,c3_ethereum_t100_s0,ethereum,81,0.8181818181818182,0.105,0.0,246.0,0.7884615384615384
100轮,c3_ethereum_t100_s0,ethereum,82,0.8282828282828283,0.125,0.0,247.0,0.7916666666666666
